gendered,non_gendered
"Als MalerIn schuf dey beeindruckende Gemälde, die in Galerien ausgestellt wurden.","Als Malerin schuf sie beeindruckende Gemälde, die in Galerien ausgestellt wurden."
Dier Fahrzeuginsass/in trug bei dem Aufprall nur leichte Verletzungen davon.,Die Fahrzeuginsassin trug bei dem Aufprall nur leichte Verletzungen davon.
"Der Konsumierendenschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Konsumierende fair behandelt werden.","Der Verbraucherschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Verbraucher fair behandelt werden."
Wanja ist auf Reisen immer ein*e Abenteur*in,Wanja ist auf Reisen immer ein Abenteurer
Viele derer Zeitgenoss*innen bewunderten deren künstlerischen Fähigkeiten.,Viele seiner Zeitgenossen bewunderten seine künstlerischen Fähigkeiten.
Dier Botschafter_in wurde ins weiße Haus einbestellt. Dey stellte sich dem schwierigen Gespräch.,Der Botschafter wurde ins weiße Haus einbestellt. Er stellte sich dem schwierigen Gespräch.
Die PolitikerInnen tagen bis spät in die Nacht.,Die Politikerinnen tagen bis spät in die Nacht.
... Das Angebot richtet sich an Anfänger_innen und Fortgeschrittene.,... Das Angebot richtet sich an Anfängerinnen und Fortgeschrittene.
"Der Fakt, dass dem Autist:in ist, spielt in deren Leben manchmal eine Rolle, manchmal auch nicht.","Der Fakt, dass er Autist ist, spielt in seinem Leben manchmal eine Rolle, manchmal auch nicht."
"Die Person arbeitete hart, um ihre Familie zu versorgen.","Die Frau arbeitete hart, um ihre Familie zu versorgen."
Dier Leiter:in der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Der Leiter der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.
... Gewappnet sein gegen Cyper-Erpresser/innen.,... Gewappnet sein gegen Cyper-Erpresserinnen.
Durch den Frühbucher*inrabatt konnten wir die Reise günstiger buchen.,Durch den Frühbucherrabatt konnten wir die Reise günstiger buchen.
Die seefahrende Person liebte das Leben auf See.,Die Seefrau liebte das Leben auf See.
Die Telemitarbeiter/innen bearbeiteten Anfragen und sorgten für einen reibungslosen Ablauf des Telefonservices.,Die Telemitarbeiterinnen bearbeiteten Anfragen und sorgten für einen reibungslosen Ablauf des Telefonservices.
"Die Kinder nutzten den Zebrastreifen, um die Straße sicher zu überqueren.","Die Kinder nutzten den Fußgängerinstreifen, um die Straße sicher zu überqueren."
... Fragen Sie Ihre*n Ärzt*in oder Apotheker*in.,... Fragen Sie Ihren Arzt oder Apotheker.
Dier Prüfer_in kontrollierte die Unterlagen sorgfältig.,Der Prüfer kontrollierte die Unterlagen sorgfältig.
Ich bin kein/e Befürworter/in der Entscheidungen meiner Chef/in.,Ich bin keine Befürworterin der Entscheidungen meiner Chefin.
Dier Arbeitsdirektor:in ist für die Personalpolitik im Unternehmen verantwortlich.,Die Arbeitsdirektorin ist für die Personalpolitik im Unternehmen verantwortlich.
Dier Inlineskater_in trainiert täglich im Park.,Die Inlineskaterin trainiert täglich im Park.
Das Nutzer:inhandbuch erklärt alle Funktionen der Software.,Das Nutzerinhandbuch erklärt alle Funktionen der Software.
"Dier Anleiter:in gab Anweisungen, die alle befolgten.","Die Anleiterin gab Anweisungen, die alle befolgten."
"Die Redaktion erhielt viele Briefzuschriften, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leserbriefe, die unterschiedliche Meinungen widerspiegelten."
Alle Gesprächsbeteiligten brachten interessante Ideen ein.,Alle Gesprächsteilnehmer brachten interessante Ideen ein.
Dier Erbauer_in des Denkmals wurde für deren Arbeit geehrt.,Der Erbauer des Denkmals wurde für seine Arbeit geehrt.
"Die Katholik*innen versammelten sich in der Kirche, um gemeinsam zu beten und ihren Glauben zu feiern.","Die Katholiken versammelten sich in der Kirche, um gemeinsam zu beten und ihren Glauben zu feiern."
Bei der Fortbildung lernen die Chirurg/innen die neuesten Techniken der Herz-Thorax-Chirurgie.,Bei der Fortbildung lernen die Chirurgen die neuesten Techniken der Herz-Thorax-Chirurgie.
Das Arbeitgeber_inmarketing spielt eine zentrale Rolle im Recruiting-Prozess.,Das Arbeitgeberinmarketing spielt eine zentrale Rolle im Recruiting-Prozess.
Deren Expert/innentum in diesem Fachgebiet ist unbestritten.,Sein Expertentum in diesem Fachgebiet ist unbestritten.
Die beschuldigte Person beteuerte deren Unschuld vor Gericht.,Die Beschuldigte beteuerte ihre Unschuld vor Gericht.
"Mein Elternteil kommt von der Arbeiter*inklasse. Ich bin die erste Person, die studiert hat in der Familie",Mein Elternteil hat kommt von der Arbeiterinklasse. Ich bin die erste Person die studiert hat in der Familie
Die Software bietet viele benutzer_indefinierte Einstellungen.,Die Software bietet viele benutzerdefinierte Einstellungen.
Dier Aspirant/in bewarb sich um die offene Stelle in der Firma.,Der Aspirant bewarb sich um die offene Stelle in der Firma.
Die Buddhist_innen versammelten sich im Tempel zum Gebet.,Die Buddhistinnen versammelten sich im Tempel zum Gebet.
Der Kurs für Fortgeschrittene baute auf den Grundlagen des vorherigen Kurses auf.,Der Kurs für Fortgeschrittene baute auf den Grundlagen des vorherigen Kurses auf.
Als der Mensch für alles in unserem Büro ist dey für alle administrativen Aufgaben zuständig.,Als der Junge für alles in unserem Büro ist er für alle administrativen Aufgaben zuständig.
Dier Wissenschaftler_in entdeckte eine neue Methode zur Krebsbehandlung.,Der Wissenschaftler entdeckte eine neue Methode zur Krebsbehandlung.
Die angebotsausrufende Person zog die Aufmerksamkeit der Passierenden auf sich.,Der Marktschreier zog die Aufmerksamkeit der Passanten auf sich.
Der Mensch mit Diabetes muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Die Diabetikerin muss regelmäßig ihren Blutzuckerspiegel kontrollieren.
Unser treuer Kund*instamm bildet das Fundament unseres langjährigen Erfolgs.,Unser treuer Kundinstamm bildet das Fundament unseres langjährigen Erfolgs.
Die Ordensleute trafen sich mehrfach am Tag zum Gebet.,Die Nonnen trafen sich mehrfach am Tag zum Gebet.
Dey kaufte sich ein neues Diamantrahmenfahrrad für die tägliche Fahrt zur Arbeit.,Er kaufte sich ein neues Herrenfahrrad für die tägliche Fahrt zur Arbeit.
Dier Kunstsammler:in zeigte stolz deren wertvolle Sammlung bei einer Ausstellung.,"Die Kunstsammlerin zeigte stolz ihre wertvolle Sammlung bei einer Ausstellung.
"
"Die Trainer:innen des Vereins arbeiten intensiv daran, die Fähigkeiten der jungen Talente zu fördern.","Die Trainerinnen des Vereins arbeiten intensiv daran, die Fähigkeiten der jungen Talente zu fördern."
Dier Handwerker_in reparierte das undichte Dach.,Die Handwerkerin reparierte das undichte Dach.
"Dey ist keine Person, die sich viel beschwert.","Sie ist niemand, die sich viel beschwert."
Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.
Dier Supervisand*in nahm regelmäßig an Supervisionsgesprächen teil.,Der Supervisand nahm regelmäßig an Supervisionsgesprächen teil.
"Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
"
Dier Inlineskater:in trainiert täglich im Park.,Die Inlineskaterin trainiert täglich im Park.
Dier FußballspielerIn schoss das entscheidende Tor.,Der Fußballspieler schoss das entscheidende Tor.
Dier Disponent:in plante die täglichen Lieferungen.,Der Disponent plante die täglichen Lieferungen.
Dier Systemadministrator_in löste die technischen Probleme im Netzwerk.,Der Systemadministrator löste die technischen Probleme im Netzwerk.
Dier Chefärzt*in garantiert den Patient*innen eine erstklassige medizinische Versorgung,Die Chefärztin garantiert den Patientinnen eine erstklassige medizinische Versorgung
Dier Evaluator_in bewertete das Projekt nach festen Kriterien.,Die Evaluatorin bewertete das Projekt nach festen Kriterien.
Dey ist eine echte Powerperson und meistert jede Herausforderung.,Sie ist eine echte Powerfrau und meistert jede Herausforderung.
Die Hauptleute planten den Einsatz bis ins kleinste Detail.,Die Hauptfrauen planten den Einsatz bis ins kleinste Detail.
Dier Schwimmer/in gewann die Goldmedaille im Wettkampf.,Der Schwimmer gewann die Goldmedaille im Wettkampf.
Das Unternehmen passte seine Produkte den Kund_inbedürfnissen an.,"Das Unternehmen passte seine Produkte den Kundinbedürfnissen an.
"
"Dier Notärzt_in eilte zum Unfallort, um dier Verletzte_n sofortige medizinische Hilfe zu leisten und Leben zu retten.","Die Notärztin eilte zum Unfallort, um den Verletzten sofortige medizinische Hilfe zu leisten und Leben zu retten."
Dier Systemadministrator/in löste die technischen Probleme im Netzwerk.,Der Systemadministrator löste die technischen Probleme im Netzwerk.
Der Expert*innenstab beriet den Vorstand in strategischen Fragen.,Der Expertenstab beriet den Vorstand in strategischen Fragen.
"Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären."
Die den Unfall verursachende Person meldete sich bei der Polizei.,Die Verursacherin des Unfalls meldete sich bei der Polizei.
Die Gäst*infreund*inschaft der Familie war überwältigend.,Die Gastfreundschaft der Familie war überwältigend.
Die in München wohnende Person genoss die warme Sonne im Englischen Garten.,Die Münchnerin genoss die warme Sonne im Englischen Garten.
Die Mitarbeitendenorientierung des Unternehmens zeigt sich in den flexiblen Arbeitszeiten und dem guten Betriebsklima.,Die Mitarbeiterorientierung des Unternehmens zeigt sich in den flexiblen Arbeitszeiten und dem guten Betriebsklima.
Der Erfolg des Originals führte schnell zu vielen Nachahmer/innen.,Der Erfolg des Originals führte schnell zu vielen Nachahmerinnen.
Die Rabbiner:innen treffen sich zum Gebet.,Die Rabbiner treffen sich zum Gebet.
Dier Rechte propagierte extreme Ansichten.,Die Rechte propagierte extreme Ansichten.
Die Nutzungsfreundlichkeit der neuen Website wurde gelobt.,Die Benutzerinfreundlichkeit der neuen Website wurde gelobt.
Dier Pastor/in hielt eine bewegende Predigt.,Die Pastorin hielt eine bewegende Predigt.
"Dier Softwareentwickler/in, dier das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit.","Der Softwareentwickler, der das neue System programmiert hat, erhielt viel Lob für seine innovative Arbeit."
Dier Erblasser*in hinterließ ein bedeutendes Vermögen.,Der Erblasser hinterließ ein bedeutendes Vermögen.
Die Arbeitgeber_invorteile umfassen flexible Arbeitszeiten und Weiterbildungen.,Die Arbeitgebervorteile umfassen flexible Arbeitszeiten und Weiterbildungen.
Die programmierende Person schrieb den Code für die neue App.,Die Programmiererin schrieb den Code für die neue App.
Die Aussiedler/innen wurden in ihrer neuen Heimat herzlich empfangen. ,Die Aussiedlerinnen wurden in ihrer neuen Heimat herzlich empfangen. 
Die Supporter*innen feuerten das Team lautstark an.,Die Supporter feuerten das Team lautstark an.
"Die Operateur_innen des komplexen Systems arbeiteten eng zusammen, um alle Probleme zu beheben.","Die Operateure des komplexen Systems arbeiteten eng zusammen, um alle Probleme zu beheben."
... Am Wahlsonntag äußerten die Wähler/innen ihren Unmut über die aktuelle Regierung.,... Am Wahlsonntag äußerten die Wählerinnen ihren Unmut über die aktuelle Regierung.
Dier Chefärzt/in garantiert den Patient/innen eine erstklassige medizinische Versorgung,Die Chefärztin garantiert den Patientinnen eine erstklassige medizinische Versorgung
Dier Systembetreuer:in überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.,Der Systembetreuer überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.
Die alten Griech*innen glaubten an viele Gött*innen.,Die alten Griechinnen glaubten an viele Göttinnen.
Die Schüler*innenbegegnung förderte den interkulturellen Austausch.,Die Schülerbegegnung förderte den interkulturellen Austausch.
Ein_e Dritte:r kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.,Ein Dritter kann den Vertrag nur mit Zustimmung der beiden Hauptparteien ändern.
Die PilgerInnen machten sich auf den Weg zur heiligen Stätte.,Die Pilger machten sich auf den Weg zur heiligen Stätte.
Dier Visionär_in hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen.,Die Visionärin hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen.
Die zugewanderte Person mit Migrationshintergrund kam in der Stadt an.,Die Zuwanderin kam in der Stadt an.
Die Kaufleute auf dem Markt verhandelten eifrig über die Preise ihrer Waren.,Die Kauffrauen auf dem Markt verhandelten eifrig über die Preise ihrer Waren.
Dier Schiedsrichter_in pfiff das Fußballspiel an.,Der Schiedsrichter pfiff das Fußballspiel an.
Der Text wurde adressatIngerecht verfasst.,Der Text wurde adressatengerecht verfasst.
Dier FahrschülerIn machte deren erste Fahrstunde.,Der Fahrschüler machte seine erste Fahrstunde.
"Josh, Pauli, und Thato sind Alltagsheld_innen, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein.","Josh, Pauli, und Thato sind Alltagsheldinnn, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein."
Die Benutzer*inentscheidung fiel auf das einfachste System.,Die Benutzerinentscheidung fiel auf das einfachste System.
In der Grundschule war dey MitläuferIn und versuchte sich im Hintergrund zu halten. ,In der Grundschule war er Mitläufer und versuchte sich im Hintergrund zu halten. 
Das Unternehmen ist dier Weltmarktführer*in in der Produktion von Solarpanelen.,Das Unternehmen ist die Weltmarktführerin in der Produktion von Solarpanelen.
"Dier Liedermacher_in schrieb berührende Texte, die deren Zuhörer_innen tief bewegten.","Der Liedermacher schrieb berührende Texte, die seine Zuhörer tief bewegten."
Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.,Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.
"Die Passagier/innen wurden gebeten, sich zur Sicherheitskontrolle zu begeben.","Die Passagierinnen wurden gebeten, sich zur Sicherheitskontrolle zu begeben."
Bitte prüfen Sie Ihre Nutzer:ineingabe auf Fehler.,Bitte prüfen Sie Ihre Nutzerineingabe auf Fehler.
... Diskutiere mit deiner Sitznachbar/in.,... Diskutiere mit deinem Sitznachbarn.
Dier RechtsanwältIn äußerte sich vor Gericht.,Die Rechtsanwältin äußerte sich vor Gericht.
Bei der Abstimmung ist die Meinung von jeder einzelnen Person von großer Bedeutung.,Bei der Abstimmung ist die Meinung von jeder Einzelnen von großer Bedeutung.
Dier Insider_in verriet vertrauliche Informationen an die Presse.,Die Insiderin verriet vertrauliche Informationen an die Presse.
Dier Personaler/in führt das Bewerbungsgespräch.,Die Personalerin führt das Bewerbungsgespräch.
... Person über Bord!,... Frau über Bord!
Die Diskutant_innen tauschten ihre Meinungen lebhaft aus.,Die Diskutantinnen tauschten ihre Meinungen lebhaft aus.
Dier staatlich anerkannte Techniker:in erhielt die Zulassung.,Die staatlich anerkannte Technikerin erhielt die Zulassung.
Die Dozent_innen der Universität sind Expert_innen auf ihrem Gebiet.,Die Dozentinnen der Universität sind Expertinnen auf ihrem Gebiet.
Die Patient:inschulung vermittelte den Teilnehmer:innen wichtige Informationen zur Selbstversorgung und Gesundheitsvorsorge.,Die Patientenschulung vermittelte den Teilnehmern wichtige Informationen zur Selbstversorgung und Gesundheitsvorsorge.
