non_gendered,gendered,predicted
Die wissenschaftlichen Mitarbeiterinnen unterstützten die Professorin bei ihren Forschungsarbeiten.,Die wissenschaftliche mitarbeitende Person unterstützten die die Professur innehabende Person bei deren Forschungsarbeiten.,Die Wissenschaftlerin unterstützten die Professurin bei ihrer Forschungsarbeiten.
Die Chefin ist für die Leitung und Organisation des Teams verantwortlich.,"Die vorgesetzte Person ist für die Leitung und Organisation des Teams verantwortlich.
",Der Vorgesetzte ist für die Leitung und Organisation des Teams verantwortlich.
Unsere Projektpartner unterstützen uns bei der Umsetzung.,Unsere ProjektpartnerInnen unterstützen uns bei der Umsetzung.,Unsere Projektpartner unterstützen uns bei der Umsetzung.
In der Grundschule war sie Mitläuferin und versuchte sich im Hintergrund zu halten. ,In der Grundschule war dey Mitläufer_in und versuchte sich im Hintergrund zu halten. ,In der Grundschule war sie Mitläuferin und versuchte sich im Hintergrund zu halten.
Das Damenprogramm bot den Gästinnen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Begleitprogramm bot den Gästen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Begleitprogramm bot den Gästen eine Vielzahl spannender Aktivitäten während des Hauptevents.
Er ist ein großer Fan von klassischer Musik.,Dey ist ein großer Fan von klassischer Musik.,Sie ist ein großer Fan von klassischer Musik.
Die Studentinnen diskutierten über das neue Forschungsprojekt.,Die StudentInnen diskutierten über das neue Forschungsprojekt.,Die Studentinnen diskutierten über das neue Forschungsprojekt.
Tauscht euch mit eurem Partner über den Text aus.,Tauscht euch mit eurer Partnerperson über den Text aus.,Tauscht euch mit eurer Partnerperson über den Text aus.
"Die positiven Kundenbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven KundInbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven Kundenbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen."
Ihr Freund ist auch mit eingeladen.,Ihre Freundon ist auch mit eingeladen.,Ihre Freundin ist auch mit eingeladen.
"Die Steuerberaterin hilft, eine Steuererklärung korrekt auszufüllen und mögliche Abzüge zu nutzen.","Dier Steuerberater*in hilft, eine Steuererklärung korrekt auszufüllen und mögliche Abzüge zu nutzen.","Der Steuerberater hilft, eine Steuererklärung korrekt auszufüllen und mögliche Abzüge zu nutzen."
Die Zuwanderin kam in der Stadt an.,Dier ZuwanderIn kam in der Stadt an.,Die Zuwanderin kam in der Stadt an.
Der Förderer spendete eine große Summe für das Schulprojekt.,Dier FörderIn spendete eine große Summe für das Schulprojekt.,Die Förderin spendete eine große Summe für das Schulprojekt.
Heute haben wir ein Absolventinnenvorsprechen [Schauspielschule],Heute haben wir ein Abschlussvorsprechen,Heute haben wir ein Abschlussvorsprechen
"Der neue Kompetenzträger im Team brachte umfangreiche Fachkenntnisse im Projektmanagement mit.
",Dier neue Kompetenzträger/in im Team brachte umfangreiche Fachkenntnisse im Projektmanagement mit.,Der neue Kompetenzträger im Team brachte umfangreiche Fachkenntnisse im Projektmanagement mit.
"Die Teampartnerinnen arbeiteten eng zusammen, um innovative Lösungen für die Herausforderungen des Projekts zu entwickeln.","Die TeampartnerInnen arbeiteten eng zusammen, um innovative Lösungen für die Herausforderungen des Projekts zu entwickeln.","Die Teampartner arbeiteten eng zusammen, um innovative Lösungen für die Herausforderungen des Projekts zu entwickeln."
Am Lehrerpult erklärte der Lehrer die Matheaufgaben.,Am Pult der Lehrkraft erklärte dier Lehrkraft die Matheaufgaben.,Am Pult der Lehrkraft erklärte die Lehrkraft die Matheaufgaben.
Die Vertrieblerin präsentierte die neuen Softwarelösungen.,Dier Vertriebler:in präsentierte die neuen Softwarelösungen.,Der Vertriebler präsentierte die neuen Softwarelösungen.
Die Skeptikerin zweifelte an den wissenschaftlichen Ergebnissen.,Dier SkeptikerIn zweifelte an den wissenschaftlichen Ergebnissen.,Die Skeptikerin zweifelte an den wissenschaftlichen Ergebnissen.
Die Kandidatenfrage wurde während der Debatte besonders intensiv diskutiert.,Die Kandidat:infrage wurde während der Debatte besonders intensiv diskutiert.,Die Kandidatinfrage wurde während der Debatte besonders intensiv diskutiert.
Der Projektentwickler plante das neue Wohngebiet.,Dier ProjektentwicklerIn plante das neue Wohngebiet.,Die Projektentwicklerin plante das neue Wohngebiet.
Die Angehörige unterstützt deren Liebsten Menschen in schwierigen Zeiten,Das Familienmitglied unterstützt deren Liebsten Menschen in schwierigen Zeiten,Das Familienmitglied unterstützt ihre Liebsten Menschen in schwierigen Zeiten
"Der Kundenbetreuer hat sich viel Zeit genommen, um auf all meine Fragen einzugehen.","Die Kund*inbetreuer*in hat sich viel Zeit genommen, um auf all meine Fragen einzugehen.","Die Kundinbetreuerin hat sich viel Zeit genommen, um auf all meine Fragen einzugehen."
Die Bogenschützin traf das Ziel mit präziser Genauigkeit.,Dier Bogenschütz/in traf das Ziel mit präziser Genauigkeit.,Der Bogenschütz traf das Ziel mit präziser Genauigkeit.
Der Emittent veröffentlichte neue Aktien am Markt.,Dier EmittentIn veröffentlichte neue Aktien am Markt.,Die Emittentin veröffentlichte neue Aktien am Markt.
"Er ging in die Raucherpause, um eine Zigarette zu rauchen.","Dey ging in die Raucher*inpause, um eine Zigarette zu rauchen.","Sie ging in die Raucherinpause, um eine Zigarette zu rauchen."
Der Tierschützer startet eine Kampagne zum Schutz der Wale. ,Die im Tierschutz engagierte Person startet eine Kampagne zum Schutz der Wale. ,Die Tierschutzführerin startet eine Kampagne zum Schutz der Wale.
Unser treuer Kundenstamm bildet das Fundament unseres langjährigen Erfolgs.,Unser treuer Kund:instamm bildet das Fundament unseres langjährigen Erfolgs.,Unser treuer Kundin bildet das Fundament unseres langjährigen Erfolgs.
Der Dienstleister bietet exzellenten Service.,Dier DienstleisterIn bietet exzellenten Service.,Der Dienstleister bietet exzellenten Service.
"Die Krankenpflegerinnen arbeiteten im Schichtdienst, um eine kontinuierliche Betreuung der Patientinnen rund um die Uhr zu gewährleisten.","Die Krankenpfleger*innen arbeiteten im Schichtdienst, um eine kontinuierliche Betreuung der Patient*innen rund um die Uhr zu gewährleisten.","Die Krankenpfleger arbeiteten im Schichtdienst, um eine kontinuierliche Betreuung der Patienten rund um die Uhr zu gewährleisten."
Der Hinterbliebene trauerte um seinen verlorenen Freund.,Dier Hinterbliebene trauerte um deren verlorene/n Freund/in.,Der Hinterbliebene trauerte um seine verlorene Freund.
Der Obmann leitete die Sitzung des Vereins.,Der Obmensch leitete die Sitzung des Vereins.,Der Obmensch leitete die Sitzung des Vereins.
... Am Wahlsonntag äußerten die Wählerinnen ihren Unmut über die aktuelle Regierung.,... Am Wahlsonntag äußerten die WählerInnen ihren Unmut über die aktuelle Regierung.,... Am Wahlsonntag äußerten die Wähler ihren Unmut über die aktuelle Regierung.
Die Reiserückkehrerinnen mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.,Die Reiserückkehrer*innen mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.,Die Reiserückkehrer mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.
Die Geologen untersuchten die Gesteinsschichten in der Region.,Die Geolog_innen untersuchten die Gesteinsschichten in der Region.,Die Geologen untersuchten die Gesteinsschichten in der Region.
Die Zuschauerinquote stieg während der Live-Übertragung.,Die Zuschauer:inquote stieg während der Live-Übertragung.,Die Zuschauerquote stieg während der Live-Übertragung.
Die Münchnerin genoss die warme Sonne im Englischen Garten.,Dier Münchner:in genoss die warme Sonne im Englischen Garten.,Die Münchnerin genoss die warme Sonne im Englischen Garten.
Die Nutzer waren begeistert von den neuen Funktionen der Software und teilten ihre positiven Erfahrungen in den sozialen Medien.,"
Die Nutzer/innen waren begeistert von den neuen Funktionen der Software und teilten ihre positiven Erfahrungen /in den sozialen Medien.",Die Nutzer waren begeistert von den neuen Funktionen der Software und teilten ihre positiven Erfahrungen in den sozialen Medien.
Die Immigranten fanden in ihrem neuen Land eine bessere Zukunft.,Die ImmigrantInnen fanden in ihrem neuen Land eine bessere Zukunft.,Die Immigrantinnen fanden in ihrem neuen Land eine bessere Zukunft.
Wir erfüllen jeden Kundinwunsch mit größter Sorgfalt und Aufmerksamkeit.,Wir erfüllen jeden Kund*inwunsch mit größter Sorgfalt und Aufmerksamkeit.,Wir erfüllen jeden Kundinwunsch mit größter Sorgfalt und Aufmerksamkeit.
Die Unterzeichnerin des Vertrags akzeptierte die Bedingungen.,Dier Unterzeichner/in des Vertrags akzeptierte die Bedingungen.,Der Unterzeichner des Vertrags akzeptierte die Bedingungen.
Der neue Bahnhof verfügt über einen barrierefreien Zugang für Rollstuhlfahrerinnen.,Der neue Bahnhof verfügt über einen barrierefreien Zugang für Rollstuhlfahrer/innen.,Der neue Bahnhof verfügt über einen barrierefreien Zugang für Rollstuhlfahrer.
Der Strahlemann auf dem Werbeplakat lächelte freundlich.,Die Strahleperson auf dem Werbeplakat lächelte freundlich.,Die Strahlefrau auf dem Werbeplakat lächelte freundlich.
Der Gründerin des Startups präsentierte ihre Innovationen.,Die gründende Person des Startups präsentierte ihre Innovationen.,Die Gründerin des Startups präsentierte ihre Innovationen.
Der erfahrene Kraftfahrer lieferte die Waren pünktlich an alle Zielorte.,Dier erfahrene Kraftfahrer_in lieferte die Waren pünktlich an alle Zielorte.,Der erfahrene Kraftfahrer lieferte die Waren pünktlich an alle Zielorte.
Der Leiter der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Dier Leiter:in der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Der Leiter der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.
Die Interakteurin leitete die Diskussion zwischen den verschiedenen Parteien.,Dier Interakteur:in leitete die Diskussion zwischen den verschiedenen Parteien.,Der Interakteur leitete die Diskussion zwischen den verschiedenen Parteien.
Der Wissensträger vermittelte sein umfangreiches Fachwissen gerne an jüngere Menschen.,Die wissenstragende Person vermittelte ihr umfangreiches Fachwissen gerne an jüngere Menschen.,Die Wissenstragende vermittelte ihr umfangreiches Fachwissen gerne an jüngere Menschen.
Als Erwachsener hat man viele Verantwortungen zu tragen.,Als Erwachsene:r hat man viele Verantwortungen zu tragen.,Als Erwachsener hat man viele Verantwortungen zu tragen.
Die Feinschmeckerin genoss das exquisite Fünf-Gänge-Menü.,Dier Feinschmecker*in genoss das exquisite Fünf-Gänge-Menü.,Die Feinschmeckerin genoss das exquisite Fünf-Gänge-Menü.
"Der Anlieger freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.
","Dier AnliegerIn freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Der Anlieger freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann."
Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agent/in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.
"Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären."
Die Coachin motivierte das Team vor dem wichtigen Spiel.,Die coachende Person motivierte das Team vor dem wichtigen Spiel.,Die Coachin motivierte das Team vor dem wichtigen Spiel.
"Der Ehrenamtler engagierte sich für die lokale Gemeinschaft.
","Dier EhrenamtlerIn engagierte sich für die lokale Gemeinschaft.
",Die Ehrenamtlerin engagierte sich für die lokale Gemeinschaft.
Der Interessensvertreter sprach vor dem Parlament über die Anliegen seiner Branche.,Dier Interessensvertreter*in sprach vor dem Parlament über die Anliegen derer Branche.,Der Interessensvertreter sprach vor dem Parlament über die Anliegen seiner Branche.
"Die Lebefrau genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern."
Davi ist gerade noch mit dem Besteller beschäftigt,Davi ist gerade noch mit dem Besteller*in beschäftigt,Davi ist gerade noch mit dem Besteller beschäftigt
Die Betreiberverantwortung umfasst die Einhaltung aller Sicherheitsvorschriften und die regelmäßige Wartung der Anlagen.,Die Betreiber:inverantwortung umfasst die Einhaltung aller Sicherheitsvorschriften und die regelmäßige Wartung der Anlagen.,Die Betreiberinverantwortung umfasst die Einhaltung aller Sicherheitsvorschriften und die regelmäßige Wartung der Anlagen.
Die KfZ-Mechanikerinnen-Innung organisiert regelmäßig Fortbildungen für ihre Mitgliederinnen.,Die KfZ-Mechaniker*innen-Innung organisiert regelmäßig Fortbildungen für ihre Mitglieder*innen.,Die KfZ-Mechaniker-Innung organisiert regelmäßig Fortbildungen für ihre Mitglieder.
Die Operationsinstrumente waren aus hochwertigem Chirurginnenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurg/innenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurginnenstahl gefertigt.
"Der Kindergärtner organisierte kreative Aktivitäten und Spiele, um die Entwicklung der Kinder spielerisch zu fördern und ihnen eine positive Lernerfahrung zu ermöglichen.","Dier Kindergärtner:in organisierte kreative Aktivitäten und Spiele, um die Entwicklung der Kinder spielerisch zu fördern und ihnen eine positive Lernerfahrung zu ermöglichen.","Die Kindergärtnerin organisierte kreative Aktivitäten und Spiele, um die Entwicklung der Kinder spielerisch zu fördern und ihnen eine positive Lernerfahrung zu ermöglichen."
Die Proletarierin organisierte sich in einer Gewerkschaft.,Dier Proletarier/in organisierte sich in einer Gewerkschaft.,Der Proletarier organisierte sich in einer Gewerkschaft.
Die Gesellschafter trafen sich zur jährlichen Generalversammlung.,Die Gesellschafter/innen trafen sich zur jährlichen Generalversammlung.,Die Gesellschafterinnen trafen sich zur jährlichen Generalversammlung.
Viele Unternehmen beschäftigen Mitarbeiter in Teilzeit.,Viele Unternehmen beschäftigen Mitarbeiter/innen in Teilzeit.,Viele Unternehmen beschäftigen Mitarbeiterinnen in Teilzeit.
Die Gafferin behinderte die Rettungskräfte bei ihrer Arbeit.,Dier Gaffer*in behinderte die Rettungskräfte bei ihrer Arbeit.,Die Gafferin behinderte die Rettungskräfte bei ihrer Arbeit.
Die Botschafterin wurde ins weiße Haus einbestellt. Sie stellte sich dem schwierigen Gespräch.,Dier BotschafterIn wurde ins weiße Haus einbestellt. Dey stellte sich dem schwierigen Gespräch.,Der Botschafter wurde ins weiße Haus einbestellt. Er stellte sich dem schwierigen Gespräch.
Bei der Siegerinehrung wurden die besten Athletinnen ausgezeichnet.,Bei der SiegerInehrung wurden die besten AthletInnen ausgezeichnet.,Bei der Siegerehrung wurden die besten Athletinnen ausgezeichnet.
"Der Kundinauftrag musste bis Ende der Woche vollständig bearbeitet werden.
",Der KundInauftrag musste bis Ende der Woche vollständig bearbeitet werden.,Der Kundinauftrag musste bis Ende der Woche vollständig bearbeitet werden.
Sie ist eine direkte Nachfahrin der berühmten Entdeckerin.,Dey ist einE direkte NachfahrIn der berühmten Entdeckerperson.,Sie ist ein direkte Nachfahrin der berühmten Entdeckerin.
