gendered,non_gendered
Die Kandidat:infrage wurde während der Debatte besonders intensiv diskutiert.,Die Kandidatinfrage wurde während der Debatte besonders intensiv diskutiert.
Der Besucher/instrom auf der Messe war überwältigend.,Der Besucherstrom auf der Messe war überwältigend.
Ihr*e persönliche:r Kundenberater*in steht Ihnen jederzeit zur Verfügung.,Ihre persönliche Kundinberaterin steht Ihnen jederzeit zur Verfügung.
Ein_e prominente:r Schauspieler_in besuchte die Veranstaltung.,Eine prominente Schauspielerin besuchte die Veranstaltung.
Medien und politische BeobachterInnen gehen von zwei möglichen Szenarien aus.,Medien und politische Beobachterinnen gehen von zwei möglichen Szenarien aus.
"Dier Lobbyist*in arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten.","Der Lobbyist arbeitete daran, die Interessen seiner Klientel in der Politik zu vertreten."
Dier Pfadfinder/in freute sich auf das Zeltlager.,Die Pfadfinderin freute sich auf das Zeltlager.
Die AnwältInkosten waren höher als erwartet.,Die Anwaltskosten waren höher als erwartet.
Dier SprengbefugteR war für die sichere Durchführung von Sprengarbeiten auf der Baustelle verantwortlich.,Die Sprengbefugte war für die sichere Durchführung von Sprengarbeiten auf der Baustelle verantwortlich.
Dier Reisende erkundete die unbekannte Stadt.,Der Reisende erkundete die unbekannte Stadt.
Das Musterkind wurde für sein vorbildliches Verhalten gelobt.,Der Musterknabe wurde für sein vorbildliches Verhalten gelobt.
Die Beobachtendengruppe überwachte die Wahl.,Die Beobachteringruppe überwachte die Wahl.
Dier Forstwart/in kümmerte sich um die Pflege der Bäume.,Der Forstwart kümmerte sich um die Pflege der Bäume.
Dier Frühaufsteher/in genoss die ruhigen Morgenstunden.,Der Frühaufsteher genoss die ruhigen Morgenstunden.
Die Protagonist/innen des Films kämpften gegen das Böse.,Die Protagonistinnen des Films kämpften gegen das Böse.
Dier Bankräuber/in verübt Straftaten gegen Finanzinstitute.,Die Bankräuberin verübt Straftaten gegen Finanzinstitute.
"Im Amt des Regierungsoberhauptes wurden wichtige politische Entscheidungen getroffen, die das Land maßgeblich beeinflussten.","Im Kanzleramt wurden wichtige politische Entscheidungen getroffen, die das Land maßgeblich beeinflussten."
Dier Interimspräsident_in übernahm die Führung des Vereins.,Die Interimspräsidentin übernahm die Führung des Vereins.
Dier ZüchterIn präsentierte stolz deren preisgekrönten Hunde.,Die Züchterin präsentierte stolz ihre preisgekrönten Hunde.
Dey kaufte sich ein neues Diamantrahmenfahrrad für die tägliche Fahrt zur Arbeit.,Er kaufte sich ein neues Herrenfahrrad für die tägliche Fahrt zur Arbeit.
Dier Bauarbeiter/in errichtet Gebäude.,Die Bauarbeiterin errichtet Gebäude.
Jede:r Einzelne ist für den Erfolg des Teams wichtig.,Jeder Einzelne ist für den Erfolg des Teams wichtig.
Dier Blindenführer_in half der sehbehinderten Person sicher über die Straße.,Die Blindenführerin half der sehbehinderten Frau sicher über die Straße.
Die ökonomisch ausgebildete Person analysierte die Wirtschaftsdaten des letzten Quartals.,Die Ökonomin analysierte die Wirtschaftsdaten des letzten Quartals.
Dier ProjektleiterIn koordinierte das Team.,Die Projektleiterin koordinierte das Team.
Die*der Bewerber*in beeindruckte im Bewerbungsgespräch mit deren umfänglichen Fachwissen. Sie stellten dem sofort ein.,Der Bewerber beeindruckte im Bewerbungsgespräch mit seinem umfänglichen Fachwissen. Sie stellten ihn sofort ein.
Das Erwachsenenteam gewann das Turnier.,Die Mannschaft gewann das Turnier.
Die KletterInnen sicherten sich gegenseitig ab und unterstützten sich beim Erklimmen der steilen Wand.,Die Kletterinnen sicherten sich gegenseitig ab und unterstützten sich beim Erklimmen der steilen Wand.
Unsere höchste Priorität ist die Nutzer_inzufriedenheit.,Unsere höchste Priorität ist die Nutzer:inzufriedenheit.
... Fragen Sie IhreN ÄrztIn oder ApothekerIn.,Meine Arbeitskollegin half mir bei einem schwierigen Projekt.
Dier Vollstreckungsschuldner:in muss deren Schulden begleichen.,Die Vollstreckungsschuldnerin muss ihre Schulden begleichen.
"Die Vorgänger/instudie lieferte wichtige Daten, die für die aktuelle Forschung von Bedeutung waren.","Die Vorgängerinstudie lieferte wichtige Daten, die für die aktuelle Forschung von Bedeutung waren."
"Dier KursleiterIn vermittelte den Teilnehmenden die grundlegenden Techniken der Fotografie.
","Der Kursleiter vermittelte den Teilnehmern die grundlegenden Techniken der Fotografie.
"
Dier Produzent*in plante die Veröffentlichung des neuen Albums.,Die Produzentin plante die Veröffentlichung des neuen Albums.
Die Schulabgänger:innen erhielten ihre Zeugnisse und bereiteten sich auf den nächsten Lebensabschnitt vor.,Die Schulabgänger erhielten ihre Zeugnisse und bereiteten sich auf den nächsten Lebensabschnitt vor.
Im Amt kann man einen neuen Personalausweis beantragen.,Im Bürgerinamt kann man einen neuen Personalausweis beantragen.
Die studentische Person befasst sich mit einer Stelle zur Anfertigung ihrer Bachelorarbeit.,Die Bachelorandin befasst sich mit einer Stelle zur Anfertigung ihrer Bachelorarbeit
"Gerade hat mir dier Busfahrer_in die Türen nochmal aufgemacht, obwohl dey sie schon geschlossen hatte.","Gerade hat mir die Busfahrerin die Türen nochmal aufgemacht, obwohl sie sie schon geschlossen hatte."
Die Beteiligung der Bevölkerung bei der Planung des neuen Parks war sehr hoch.,Die Bürgerbeteiligung bei der Planung des neuen Parks war sehr hoch.
Die Anwender*infreundlichkeit der neuen Software wurde gelobt.,Die Anwenderinfreundlichkeit der neuen Software wurde gelobt.
"Dey arbeitet als Chauffeurie, dey bringt immer all deren Kund/innen sicher ans Ziel","Er arbeitet als Chauffeur, er bringt immer all seine Kunden sicher ans Ziel"
Dier Informatiker_in entwickelte eine neue Software zur Datenanalyse.,Der Informatiker entwickelte eine neue Software zur Datenanalyse.
Das Elternteil hat bereits die Geburtstagsgeschenke besorgt.,Der Vater hat bereits die Geburtstagsgeschenke besorgt.
Die Partner_inwahl ist entscheidend für den Erfolg des Projekts.,Die Partnerwahl ist entscheidend für den Erfolg des Projekts.
Dier Anbieter/in präsentiert ihre Produkte oder Dienstleistungen.,Der Anbieter präsentiert seine Produkte oder Dienstleistungen.
Dey ist ein großer Fan von klassischer Musik.,Sie ist ein großer Fan von klassischer Musik.
Die einbrechenden Personen wurden auf frischer Tat ertappt.,Die Einbrecherinnen wurde auf frischer Tat ertappt.
Dier ReiseleiterIn führte die Gruppe durch die Stadt.,Der Reiseleiter führte die Gruppe durch die Stadt.
"Dey ist Betreiber/in, dort wird XY hergestellt.","Er ist Betrieber, dort wird XY hergestellt."
Dier Geschäftsführer*in präsentierte die neuen Unternehmensziele.,Der Geschäftsführer präsentierte die neuen Unternehmensziele.
Als Migrant:in bringt dey eine vielfältige Perspektive in unser Team e:in.,Als Migrant bringt er eine vielfältige Perspektive in unser Team ein.
Das Nutzer/inhandbuch erklärt alle Funktionen der Software.,Das Nutzerinhandbuch erklärt alle Funktionen der Software.
"Angreifende werden oft von deren eigenen Ängsten getrieben.
",Angreifer werden oft von seinen eigenen Ängsten getrieben.
"Dier Immobilieneigentümer/in beschloss, deren Anwesen zu verkaufen.","Der Immobilieneigentümer beschloss, sein Anwesen zu verkaufen."
"Der Hausservice sorgt dafür, dass das Hotel immer sauber und ordentlich ist.","Der Hausherr sorgt dafür, dass das Hotel immer sauber und ordentlich ist."
Dier Fremdsprachler_in beherrschte mehrere Sprachen fließend.,Die Fremdsprachlerin beherrschte mehrere Sprachen fließend.
"... Um an unserer Klinik als ÄrztIn arbeiten zu können, müssen Sie die Approbation im OrigInal vorlegen.","... Um an unserer Klinik als Ärztin arbeiten zu können, müssen Sie die Approbation im Original vorlegen."
Dier VersicherungsnehmerIn hat deren Prämie pünktlich bezahlt.,Die Versicherungsnehmerin hat ihre Prämie pünktlich bezahlt.
Deren Lebenspartner*in unterstützte dem in jeder Lebenslage und war stets an deren Seite.,Ihre Lebenspartnerin unterstützte sie in jeder Lebenslage und war stets an ihrer Seite.
... Anna und Peter sind Arbeitskolleg_innen.,... Anna und Peter sind Arbeitskolleginnen.
Dier User:in der App meldet regelmäßig Fehler an das Entwicklungsteam zurück.,Die Userin der App meldet regelmäßig Fehler an das Entwicklungsteam zurück.
"Dier Verhandlungspartner:in brachte deren Bedingungen klar und präzise vor, während dey gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete.","Die Verhandlungspartnerin brachte ihre Bedingungen klar und präzise vor, während sie gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete."
"Die publizierende Person entschied sich, das Buch der schriftstellenden Person zu veröffentlichen.","Die Verlegerin entschied sich, das Buch der aufstrebenden Autorin zu veröffentlichen."
"Viele Gegner*innen erschienen nicht zum Spiel, weshalb es ausfallen musste.","Viele Gegner erschienen nicht zum Spiel, weshalb es ausfallen musste."
"Die kranke Person wurde von der ärztlichen Fachkraft gründlich untersucht und erhielt eine angemessene Behandlung, um deren Genesung zu unterstützen.","Die Kranke wurde von ihrer Ärztin gründlich untersucht und erhielt eine angemessene Behandlung, um ihre Genesung zu unterstützen."
Die Staatsleute führten wichtige Gespräche über internationale Beziehungen und Handelsabkommen.,Die Staatsfrauen führten wichtige Gespräche über internationale Beziehungen und Handelsabkommen.
Dier erfahrene Kommunikator_in übernahm die Leitung der Pressekonferenz.,Der erfahrene Kommunikator übernahm die Leitung der Pressekonferenz.
"Unter den Anwesenden war keine Person, die den Verlust des Schlüssels bemerkt hatte.","Unter den Anwesenden war keiner, der den Verlust des Schlüssels bemerkt hatte."
Dey ließ sich von deren Emotionen überwältigen.,Sie ließ sich von seinen Emotionen überwältigen.
Die Ergebnisse der Mitarbeitendenumfrage wurden anonym ausgewertet.,Die Ergebnisse der Mitarbeiterinumfrage wurden anonym ausgewertet.
Das inhaber*ingeführte Unternehmen legt großen Wert auf Service.,Das inhaberingeführte Unternehmen legt großen Wert auf Service.
"Als Leistungsträger:in im Unternehmen erhielt dey eine Beförderung.
","Als Leistungsträgerin im Unternehmen erhielt sie eine Beförderung.
"
Dier Münchner:in genoss die warme Sonne im Englischen Garten.,Der Münchner genoss die warme Sonne im Englischen Garten.
"Als Callcenteroperator ist es deren Aufgabe, die Anliegen der Anrufer/innen professionell zu bearbeiten.
","Als Callcenteroperatorin ist es ihre Aufgabe, die Anliegen der Anruferinnen professionell zu bearbeiten.
"
Die Vertragspartei erwies sich als unzuverlässig.,Der Vertragspartner erwies sich als unzuverlässig.
Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.
Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.
Deren Expert:innentum in diesem Fachgebiet ist unbestritten.,Sein Expertentum in diesem Fachgebiet ist unbestritten.
Die Benutzer/ineinstellungen können im Menü angepasst werden.,Die Benutzereinstellungen können im Menü angepasst werden.
Die antwortende Person gab detaillierte Antworten auf die Fragen der Umfrage.,Die Respondentin gab detaillierte Antworten auf die Fragen der Umfrage.
Die Ehrung wurde in einer feierlichen Zeremonie durchgeführt.,Der Ritterschlag wurde in einer feierlichen Zeremonie durchgeführt.
Der Umfang des Projekts wurde auf 200 Personentage geschätzt.,Der Umfang des Projekts wurde auf 200 Personentage geschätzt.
Die Kinder der Geschwister verbrachten den Nachmittag gemeinsam im Park und genossen dabei das sonnige Wetter und ihre Zeit miteinander.,Die Neffen und Nichten verbrachten den Nachmittag gemeinsam im Park und genossen dabei das sonnige Wetter und ihre Zeit miteinander.
Die Ökonom/innen diskutierten über die Inflation.,Die Ökonomen diskutierten über die Inflation.
Mensch sollte immer die Wahrheit sagen.,Man sollte immer die Wahrheit sagen.
Die tierhaltende Person bringt im Urlaub ihre Katze immer in eine Pension. ,Die Tierhalterin bringt im Urlaub ihre Katze immer in eine Pension. 
Dier DrachenherrscherIn kämpfte tapfer gegen das Ungeheuer.,Die Drachenlady kämpfte tapfer gegen das Ungeheuer.
Dier Technolog:in erforschte neue Entwicklungen in der Computertechnik und präsentierte deren Ergebnisse auf der Konferenz.,Der Technologe erforschte neue Entwicklungen in der Computertechnik und präsentierte seine Ergebnisse auf der Konferenz.
... Für diese Stelle suchen wir eine/n englische/n Muttersprachler/in.,... Für diese Stelle suchen wir eine englische Muttersprachlerin.
Dey gilt als Ikone der modernen Kunst.,Er gilt als Ikone der modernen Kunst.
"Die TrainerInnen des Vereins arbeiten intensiv daran, die Fähigkeiten der jungen Talente zu fördern.","Die Trainer des Vereins arbeiten intensiv daran, die Fähigkeiten der jungen Talente zu fördern."
Der KundInauftrag musste bis Ende der Woche vollständig bearbeitet werden.,"Der Kundenauftrag musste bis Ende der Woche vollständig bearbeitet werden.
"
Die Mitglieder des Betriebsrates stimmten über die neuen Arbeitsbedingungen ab.,Die Betriebsrätinnen stimmten über die neuen Arbeitsbedingungen ab.
Das Forscher:inteam arbeitete rund um die Uhr an der Lösung des Problems.,Das Forscherinteam arbeitete rund um die Uhr an der Lösung des Problems.
Dier Sänger:in trat auf der Bühne vor einem großen Publikum auf.,Die Sängerin trat auf der Bühne vor einem großen Publikum auf.
Die KarnevalistInnen zogen mit ihren bunten Kostümen und lauten Musikinstrumenten durch die Straßen,Die Karnevalistinnen zogen mit ihren bunten Kostümen und lauten Musikinstrumenten durch die Straßen
Minderjährige dürfen in diesem Club nicht eintreten.,Minderjährige dürfen in diesem Club nicht eintreten.
"Die Tutor*innen bieten wöchentlich Sprechstunden an, um den Student*innen bei ihren Fragen und Problemen zu helfen.","Die Tutoren bieten wöchentlich Sprechstunden an, um den Studenten bei ihren Fragen und Problemen zu helfen."
Die Mitglieder/innen der Genossenschaft entschieden gemeinsam über die zukünftigen Projekte.,Die Mitglieder der Genossenschaft entschieden gemeinsam über die zukünftigen Projekte.
Die ProkuristInnen des Unternehmens treffen wesentliche Entscheidungen und vertreten die Firma in rechtlichen Angelegenheiten.,Die Prokuristen des Unternehmens treffen wesentliche Entscheidungen und vertreten die Firma in rechtlichen Angelegenheiten.
Die Leitenden eines Lehrstuhles hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaber hatten viele administrative Aufgaben und Forschungspflichten.
"Dier Zeitwächter_in sorgte dafür, dass die Zeitmaschine sicher betrieben wurde.","Die Zeitwächterin sorgte dafür, dass die Zeitmaschine sicher betrieben wurde."
Die Ratsperson sprach bei der Stadtratssitzung.,Der Ratsherr sprach bei der Stadtratssitzung.
Dier Analytiker*in untersucht gründlich die vorliegenden Daten.,Der Analytiker untersucht gründlich die vorliegenden Daten.
Dier KollegIn half dem bei einem schwierigen Projekt und zeigte echte Teamarbeit.,Die Kollegin half ihr bei einem schwierigen Projekt und zeigte echte Teamarbeit.
"Die Versklavten wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufsehenden streng überwacht wurden.","Die Sklaven wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufsehern streng überwacht wurden."
"Dier Kursteilnehmer/in war begeistert von den praxisnahen Übungen.
","Die Kursteilnehmerin war begeistert von den praxisnahen Übungen.
"
Dier KlägerIn legte überzeugende Beweise vor.,Die Klägerin legte überzeugende Beweise vor.
